fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin,event_id_x,ticker,revenue_growth,margin_trend,profitability,revenue_growth_regime,eps_surprise_regime,profitability_regime,margin_trend_regime,financial_strength_regime,event_id_reported,event_id_y,CAR_m1_p1,CAR_m2_p2,CAR_m5_p5,CAR_p5_p20,eps_bin2
2005-09-30,2005-10-11,0.01,0.01,0.0,0.0,post-market,AAPL,3678000000,1035000000,418000000,430000000,0.2814029363784666,0.1136487221315932,0.1169113648722131,AAPL_2005-09-30,AAPL,,,0.1136487221315932,missing,small,medium,missing,mixed,AAPL_2005-10-11,AAPL_2005-10-11,0.007234004306635299,0.0777158696497991,0.0570941996028896,0.017414241031804695,0
2005-12-31,2006-01-18,0.02,0.02,0.0,0.0,post-market,AAPL,5749000000,1564000000,750000000,565000000,0.2720473125761002,0.1304574708644982,0.0982779613845886,AAPL_2005-12-31,AAPL,0.5630777596519847,-0.0186334034876245,0.1304574708644982,high_growth,small,medium,contraction,mixed,AAPL_2006-01-18,AAPL_2006-01-18,-0.07534077708246341,-0.0629805464713985,-0.036115413447831306,-0.1440207468389809,0
2006-03-31,2006-04-19,0.02,0.02,0.0,0.0,post-market,AAPL,4359000000,1297000000,529000000,410000000,0.2975453085570085,0.1213581096581784,0.0940582702454691,AAPL_2006-03-31,AAPL,-0.2417811793355366,-0.0042196911391194,0.1213581096581784,negative_growth,small,medium,stable,mixed,AAPL_2006-04-19,AAPL_2006-04-19,0.015040756617441302,0.012303231528598697,-0.003039714800001203,0.0597027912499362,0
2006-06-30,2006-07-19,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1325000000,566000000,472000000,0.3032036613272311,0.1295194508009153,0.1080091533180778,AAPL_2006-06-30,AAPL,0.0025235145675612,0.0139508830726086,0.1295194508009153,moderate_growth,small,medium,expansion,mixed,AAPL_2006-07-19,AAPL_2006-07-19,0.1463014908757207,0.1991775326773267,0.16370318158819108,0.045687376718752004,0
2006-09-30,2006-10-18,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1412000000,608000000,542000000,0.323112128146453,0.1391304347826087,0.1240274599542334,AAPL_2006-09-30,AAPL,0.0,0.0160183066361555,0.1391304347826087,moderate_growth,small,medium,expansion,mixed,AAPL_2006-10-18,AAPL_2006-10-18,0.0574484123482556,0.0688482298946418,0.062844317759,-0.0310685834782313,0
2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333,post-market,AAPL,7115000000,2220000000,1322000000,1004000000,0.3120168657765285,0.1858046380885453,0.1411103302881236,AAPL_2006-12-31,AAPL,0.6281464530892449,0.0170828703338901,0.1858046380885453,high_growth,large_positive,medium,expansion,mixed,AAPL_2007-01-17,AAPL_2007-01-17,-0.031561562994725,-0.041316026619314494,-0.0674170554258428,-0.0580932407221746,1
2007-03-31,2007-04-25,0.03,0.02,0.01,50.0,post-market,AAPL,5264000000,1849000000,986000000,770000000,0.3512537993920973,0.1873100303951367,0.1462765957446808,AAPL_2007-03-31,AAPL,-0.2601546029515109,0.0051662654565572,0.1873100303951367,negative_growth,large_positive,medium,expansion,mixed,AAPL_2007-04-25,AAPL_2007-04-25,0.0209684346084485,0.0548781110589322,0.0695103461695049,0.0741297682193487,1
2007-06-30,2007-07-25,0.03,0.03,0.0,0.0,post-market,AAPL,5410000000,1995000000,1041000000,818000000,0.3687615526802218,0.1924214417744917,0.1512014787430683,AAPL_2007-06-30,AAPL,0.0277355623100303,0.0049248829983875,0.1924214417744917,moderate_growth,small,medium,stable,mixed,AAPL_2007-07-25,AAPL_2007-07-25,0.030820006317478298,0.0331469661215685,0.029405013712232288,-0.153231907054968,0
2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333,post-market,AAPL,6217000000,2090000000,1060000000,904000000,0.3361750040212321,0.1705002412739263,0.1454077529354994,AAPL_2007-09-30,AAPL,0.1491682070240296,-0.0057937258075689,0.1705002412739263,high_growth,large_positive,medium,contraction,mixed,AAPL_2007-10-22,AAPL_2007-10-22,0.0342628575521727,0.0411968935471038,0.03391046613743989,-0.0264748531129947,1
2007-12-31,2008-01-22,0.06,0.06,0.0,0.0,post-market,AAPL,9608000000,3332000000,2126000000,1581000000,0.3467943380516236,0.2212739383846794,0.1645503746877602,AAPL_2007-12-31,AAPL,0.5454399227923437,0.0191426217522608,0.2212739383846794,high_growth,small,medium,expansion,mixed,AAPL_2008-01-22,AAPL_2008-01-22,-0.1041436213902593,-0.1658753492490607,-0.1470373249280506,-0.0351133967099227,0
