symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin
AAPL,2025-09-30,102466000000,48341000000,32427000000,27466000000,0.47177600374758455,0.3164659496808698,0.2680498897195167
AAPL,2025-06-30,94036000000,43718000000,28202000000,23434000000,0.4649070568718363,0.2999064188183249,0.24920243311072354
AAPL,2025-03-31,95359000000,44867000000,29589000000,24780000000,0.47050619238876246,0.31029058610094484,0.25986010759341016
AAPL,2024-12-31,124300000000,58275000000,42832000000,36330000000,0.4688254223652454,0.34458567980691873,0.2922767497988737
AAPL,2024-09-30,94930000000,43879000000,29591000000,14736000000,0.4622247972190035,0.31171389444854103,0.15523016959865163
AAPL,2024-06-30,85777000000,39678000000,25352000000,21448000000,0.462571551814589,0.29555708406682446,0.25004371801298714
AAPL,2024-03-31,90753000000,42271000000,27900000000,23636000000,0.46578074554009236,0.30742785362467356,0.26044318094167684
AAPL,2023-12-31,119575000000,54855000000,40373000000,33916000000,0.4587497386577462,0.337637466025507,0.2836378841731131
AAPL,2023-09-30,89498000000,40427000000,26969000000,22956000000,0.4517084180652082,0.30133634271156895,0.25649735189613176
AAPL,2023-06-30,81797000000,36413000000,22998000000,19881000000,0.44516302553883397,0.2811594557257601,0.24305292370135825
AAPL,2023-03-31,94836000000,41976000000,28318000000,24160000000,0.44261672782487665,0.2985996878822388,0.25475557805052934
AAPL,2022-12-31,117154000000,50332000000,36016000000,29998000000,0.42962254809908323,0.30742441572630896,0.2560561312460522
AAPL,2022-09-30,90146000000,38095000000,24894000000,20721000000,0.4225922392563175,0.27615202005635303,0.22986044860559537
AAPL,2022-06-30,82959000000,35885000000,23076000000,19442000000,0.4325630733253776,0.2781615014645789,0.2343567304331055
AAPL,2022-03-31,97278000000,42559000000,29979000000,25010000000,0.437498715022924,0.30817862209338187,0.25709821336787353
AAPL,2021-12-31,123945000000,54243000000,41488000000,34630000000,0.43763766186615033,0.3347291137197951,0.2793981201339304
AAPL,2021-09-30,83360000000,35174000000,23786000000,20551000000,0.4219529750479846,0.28534069097888676,0.2465331094049904
AAPL,2021-06-30,81434000000,35255000000,24126000000,21744000000,0.4329272785323084,0.296264459562345,0.2670137780288332
AAPL,2021-03-31,89584000000,38079000000,27503000000,23630000000,0.4250647437042329,0.30700794784783,0.2637747812109305
AAPL,2020-12-31,111439000000,44328000000,33534000000,28755000000,0.39777815665969724,0.30091799100853384,0.25803354301456405
AAPL,2020-09-30,64698000000,24689000000,14775000000,12673000000,0.3816037590033695,0.2283687285542057,0.19587931620761073
AAPL,2020-06-30,59685000000,22680000000,13091000000,11253000000,0.3799949736114602,0.21933484124989527,0.18853983412917819
AAPL,2020-03-31,58313000000,22370000000,12853000000,11249000000,0.3836194330595236,0.22041397287054346,0.1929072419529093
AAPL,2019-12-31,91819000000,35217000000,25569000000,22236000000,0.38354806739345887,0.2784717759940753,0.2421720994565395
AAPL,2019-09-30,64040000000,24313000000,15625000000,13686000000,0.3796533416614616,0.2439881324172392,0.2137101811367895
AAPL,2019-06-30,53809000000,20227000000,11544000000,10044000000,0.37590365923916075,0.2145366016837332,0.18666022412607555
AAPL,2019-03-31,58015000000,21821000000,13415000000,11561000000,0.37612686374213566,0.2312333017323106,0.19927604929759546
AAPL,2018-12-31,84310000000,32031000000,23346000000,19965000000,0.3799193452733958,0.27690665401494485,0.23680464950776894
AAPL,2018-09-30,62900000000,24084000000,16118000000,14125000000,0.38289348171701115,0.256248012718601,0.22456279809220986
AAPL,2018-06-30,53265000000,20421000000,12612000000,11519000000,0.38338496198254013,0.23677837228949591,0.21625833098657654
AAPL,2018-03-31,61137000000,23422000000,15894000000,13822000000,0.38310679294044525,0.2599735021345503,0.22608240509020724
AAPL,2017-12-31,88293000000,33912000000,26274000000,20065000000,0.384084808535218,0.29757738439060855,0.22725470875380835
AAPL,2017-09-30,52579000000,19931000000,13120000000,10714000000,0.3790676886209323,0.24952927975047073,0.20376956579623043
AAPL,2017-06-30,45408000000,17488000000,10768000000,8717000000,0.38513037350246654,0.23713883016208598,0.19197057787174066
AAPL,2017-03-31,52896000000,20591000000,14097000000,11029000000,0.38927329098608593,0.2665040834845735,0.20850347852389595
AAPL,2016-12-31,78351000000,30176000000,23359000000,17891000000,0.38513867085295656,0.2981327615473957,0.22834424576584855
AAPL,2016-09-30,46852000000,17813000000,11761000000,9014000000,0.380197216767694,0.2510245026893196,0.19239306753180227
AAPL,2016-06-30,42358000000,16106000000,10105000000,7796000000,0.38023513858066954,0.23856178289815383,0.18405023844374144
AAPL,2016-03-31,50557000000,19921000000,13987000000,10516000000,0.39403050022746605,0.27665802955080404,0.2080028482702692
AAPL,2015-12-31,75872000000,30423000000,24171000000,18361000000,0.4009779628848587,0.31857602277520036,0.24199968367777308
AAPL,2015-09-30,51501000000,20548000000,14623000000,11124000000,0.39898254402827127,0.28393623424787867,0.21599580590668144
AAPL,2015-06-30,49605000000,19681000000,14083000000,10677000000,0.3967543594395726,0.2839028323757686,0.21524039915331117
AAPL,2015-03-31,58010000000,23656000000,18278000000,13569000000,0.4077917600413722,0.3150836062747802,0.2339079469057059
AAPL,2014-12-31,74599000000,29741000000,24246000000,18024000000,0.3986782664646979,0.3250177616321935,0.24161181785278624
AAPL,2014-09-30,42123000000,16009000000,11165000000,8467000000,0.38005365239892697,0.26505709469885813,0.20100657597986848
