ticker,event_date,event_date_adj,CAR_0_1,CAR_2_5,CAR_0_5,CAR_6_10,CAR_11_20,CAR_0_20,CAR_2_20,CAR_5_20,Speed_01_over_05,VIX
AAPL,2022-01-27,2022-01-27,0.0411320119902733,0.005856735492004196,0.04698874748227749,-0.0236422006457907,-0.0101296264812231,0.013216920355263692,-0.027915091635009603,-0.009054087417651806,0.8753587655382142,
AAPL,2022-04-28,2022-04-28,0.0124829908188995,-0.0130563051577743,-0.0005733143388747999,-0.0423101833869919,0.016205338955103295,-0.02667815877076339,-0.0391611495896629,-0.040555506144911206,21.773379754287866,
AAPL,2022-07-28,2022-07-28,0.010334819757136,-0.005194707479727501,0.0051401122774084994,0.0177803272572872,0.0391708882322391,0.062091327766934795,0.0517565080097988,0.0508545715126496,2.0106214026800453,
AAPL,2022-10-27,2022-10-27,0.0283114949385743,-0.0412016235269566,-0.0128901285883823,-0.0308292090250356,0.020972392438496402,-0.0227469451749215,-0.05105844011349581,-0.034255919276049304,2.196370249098296,
AAPL,2023-02-02,2023-02-02,0.042453877921235,-0.0047328831868889,0.0377209947343461,0.0158534169839832,0.014603775304579519,0.06817818702290881,0.025724309101673823,0.03405128741250062,1.1254707947184508,
AAPL,2023-05-04,2023-05-04,0.017937070319166,-0.008862825208685001,0.009074245110480997,-0.0265650104234962,0.013319117486771202,-0.004171647826244001,-0.022108718145409996,-0.0153667739386304,1.976701103042522,
AAPL,2023-08-03,2023-08-03,-0.051611267321558005,-0.015447647799216098,-0.06705891512077411,0.0006383642965478,0.0060453720656227,-0.060375178758603605,-0.008763911437045597,0.0033367248234753995,0.7696406544693624,
AAPL,2023-11-02,2023-11-02,-0.0066221784015406,0.030274285187139302,0.023652106785598703,0.0099830404644277,0.0242491319061536,0.057884279156179996,0.0645064575577206,0.0385496432263583,0.27998260203918546,
AAPL,2024-02-01,2024-02-01,-0.0157914856430119,0.0076261767132761,-0.008165308929735802,-0.0248824949262224,0.01332646321607093,-0.01972134063988727,-0.003929854996875362,-0.018424786384652763,1.9339728329816976,
AAPL,2024-05-02,2024-05-02,0.0601109230385026,0.0044816809527082006,0.0645926039912108,0.0194135443947541,0.014944406287404198,0.09895055467336909,0.038839631634866506,0.04452760390189,0.9306161901551757,
