date,stock_return,market_return,expected_return,ar,rel_day,ticker,event_date_aligned,alpha,beta,surprise,VIX,car_0_t
2022-01-20,-0.010401012916038935,-0.013073656942358148,-0.013833959805937986,0.0034329468898990512,-5,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,
2022-01-21,-0.012847356444817501,-0.028120116980504182,-0.030008255186165175,0.01716089874134767,-4,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,
2022-01-24,-0.004876101381209836,0.004567269840545091,0.005129275389866586,-0.010005376771076421,-3,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,
2022-01-25,-0.011450031751405689,-0.02345413448691438,-0.024992525313559905,0.013542493562154216,-2,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,
2022-01-26,-0.0005634332011201637,-0.0015660183726785887,-0.0014637448262671785,0.0009003116251470148,-1,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,
2022-01-27,-0.0029475421923435903,-0.010121566258626091,-0.010660589685202105,0.007713047492858515,0,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.007713047492858515
2022-01-28,0.06745083821205389,0.03088702100299496,0.03342187235661436,0.034028965855439526,1,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.04174201334829804
2022-01-31,0.025790308326912197,0.03147764495303653,0.03405676762117427,-0.008266459294262077,2,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03347555405403597
2022-02-01,-0.0009731246653620436,0.006780698730185075,0.007508615950596684,-0.008481740615958726,3,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.02499381343807724
2022-02-02,0.007019575121275115,0.008092492693857888,0.008918737865828075,-0.0018991627445529603,4,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.02309465069352428
2022-02-03,-0.01686109796606644,-0.04138877854801977,-0.04427149391136561,0.02741039594529917,5,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.05050504663882345
2022-02-04,-0.002954040782357686,0.012536200254640655,0.013695531775440941,-0.016649572557798628,6,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03385547408102482
2022-02-07,-0.004243575616813313,-0.008077149622355392,-0.0084629300050208,0.004219354388207487,7,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03807482846923231
2022-02-08,0.018298296919483707,0.011172744414652389,0.012229875572057753,0.0060684213474259535,8,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.044143249816658264
2022-02-09,0.008259566764228612,0.020969192975614375,0.022760635119519014,-0.014501068355290402,9,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.02964218146136786
2022-02-10,-0.02388173200338736,-0.022892403940112712,-0.02438868921091299,0.000506957207525631,10,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03014913866889349
2022-02-11,-0.02042564261740149,-0.03223567823652306,-0.03443230597562051,0.014006663358219023,11,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.044155802027112515
2022-02-14,0.0014221381870677026,0.0012382624634499715,0.0015507360853667415,-0.00012859789829903893,12,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.044027204128813474
2022-02-15,0.022888580784965116,0.024559779535002595,0.026620360759475888,-0.0037317799745107717,13,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.040295424154302706
2022-02-16,-0.0013899347810178981,-0.0002526874421415358,-5.1970737967249896e-05,-0.0013379640430506482,14,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.038957460111252055
2022-02-17,-0.021498646003947346,-0.030195294997957693,-0.03223898202395652,0.010740336020009171,15,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.049697796131261227
2022-02-18,-0.009399795547286824,-0.011470717102808142,-0.012110868635264841,0.002711073087978017,16,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.05240886921923924
2022-02-22,-0.01797286181253025,-0.010094407516224174,-0.010631395208850161,-0.00734146660368009,17,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.04506740261555915
2022-02-23,-0.026204526621641896,-0.025949218207093245,-0.027674632665472407,0.001470106043830511,18,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.046537508659389666
2022-02-24,0.01654261570990522,0.033052258417243935,0.035749409160460315,-0.019206793450555093,19,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.027330715208834573
2022-02-25,0.012882134249228717,0.01538828256955886,0.016761397214438457,-0.00387926296520974,20,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.023451452243624833
2022-02-28,0.0016365127754580102,0.0029741822819574107,0.0034167749961635475,-0.0017802622207055373,21,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.021671190022919295
2022-03-01,-0.011696039763191411,-0.015429658692576063,-0.01636656004066085,0.004670520277469437,22,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.026341710300388732
2022-03-02,0.020379162336652264,0.01664018648055506,0.018107139906924224,0.00227202242972804,23,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.028613732730116772
2022-03-03,-0.001983233319290826,-0.01438791709098337,-0.01524673276359274,0.013263499444301914,24,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.04187723217441869
2022-03-04,-0.018579769444388956,-0.014598047718613108,-0.015472614122470474,-0.003107155321918482,25,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03877007685250021
2022-03-07,-0.0240033851869761,-0.037578696873063776,-0.04017582049201679,0.01617243530504069,26,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.054942512157540896
2022-03-08,-0.011744783612059648,-0.004658723170121143,-0.004788269052621029,-0.006956514559438619,27,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.04798599759810228
2022-03-09,0.03439897197962718,0.03536540910539348,0.03823594635221538,-0.0038369743725882033,28,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.044149023225514075
2022-03-10,-0.02756263696133615,-0.011167199586006342,-0.011784600399588174,-0.015778036561747977,29,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.0283709866637661
2022-03-11,-0.024199105820653113,-0.020956291477212702,-0.022307451844456497,-0.0018916539761966167,30,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.026479332687569482
2022-03-14,-0.02692155382837553,-0.019391286735036355,-0.0206251392667975,-0.006296414561578027,31,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.020182918125991454
2022-03-15,0.029245484898155715,0.03088472124816632,0.03341940021939363,-0.004173915321237915,32,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.01600900280475354
2022-03-16,0.028602432839733512,0.036415622637892005,0.03936488058949635,-0.01076244774976284,33,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.0052465550549906995
2022-03-17,0.0064333003492210526,0.01203355993527136,0.013155215117909548,-0.0067219147686884955,34,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,-0.001475359713697796
2022-03-18,0.020703142407715418,0.02026127391976333,0.02199965267676518,-0.0012965102690497624,35,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,-0.0027718699827475584
2022-03-21,0.008501387125989105,-0.002783887325329922,-0.0027729014069281083,0.011274288532917214,36,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.008502418550169656
2022-03-22,0.020587202261553337,0.019461961613018115,0.021140426432348102,-0.0005532241707947652,37,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.00794919437937489
2022-03-23,0.008199910264307822,-0.014475419156531224,-0.01534079370888904,0.02354070397319686,38,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03148989835257175
2022-03-24,0.02242454834473603,0.0219830572878192,0.023850495513226096,-0.001425947168490066,39,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.030063951184081686
2022-03-25,0.0037271753919224295,-0.0008345354501077103,-0.0006774322434232052,0.004404607635345635,40,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.03446855881942732
2022-03-28,0.005023988644476046,0.015354096393837077,0.016724648550457518,-0.011700659905981473,41,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.02276789891344585
2022-03-29,0.018953635980857995,0.017063161234562474,0.0185618195187632,0.00039181646209479615,42,AAPL,2022-01-27,0.00021965736044990154,1.074956856245379,0.21,30.49,0.023159715375540645
