ticker,event_day,abnormal_return,caar
AAPL,-20,0.0036694338684120104,0.0036694338684120104
AAPL,-17,0.00012621599637872985,0.0037956498647907402
AAPL,-16,0.0016954105946042114,0.005491060459394952
AAPL,-15,-0.0004732579799994008,0.005017802479395551
AAPL,-14,0.0011854796184843502,0.006203282097879901
AAPL,-13,-0.0003107639257004575,0.005892518172179444
AAPL,-10,0.0004278996265475563,0.0063204177987269995
AAPL,-9,0.0011647139977361853,0.007485131796463185
AAPL,-8,-0.0002363199787376478,0.007248811817725537
AAPL,-7,-0.0005300889901246443,0.006718722827600893
AAPL,-6,-0.0002234038356413844,0.006495318991959508
AAPL,-3,0.0042031103383229134,0.010698429330282422
AAPL,-2,0.0003119486387457883,0.01101037796902821
AAPL,-1,-0.0019708341465218045,0.009039543822506406
AAPL,0,0.001300572313686603,0.010340116136193008
AAPL,1,0.0043642010331303846,0.014704317169323394
AAPL,4,-0.010781886662965772,0.003922430506357622
AAPL,5,0.0026322545837921367,0.0065546850901497585
AAPL,6,0.001814020617096028,0.008368705707245787
AAPL,7,0.0022392563110080485,0.010607962018253835
AAPL,8,0.0004067647260100008,0.011014726744263837
AAPL,11,-0.0008337231413630435,0.010181003602900793
AAPL,12,0.003145861842053816,0.013326865444954608
AAPL,13,-0.002063999729150931,0.011262865715803677
AAPL,14,0.0020983851682445072,0.013361250884048185
AAPL,15,0.002150119769919519,0.015511370653967703
AAPL,18,-0.0034622566786824227,0.012049113975285282
AAPL,19,0.002072119365998733,0.014121233341284014
AAPL,20,-0.0002951489001811342,0.01382608444110288
GOOGL,-20,0.002716331864235988,0.002716331864235988
GOOGL,-19,0.0044986939674852315,0.00721502583172122
GOOGL,-18,0.003777361686683825,0.010992387518405044
GOOGL,-17,0.010142359500958154,0.021134747019363197
GOOGL,-16,0.0008947648377991464,0.022029511857162343
GOOGL,-15,-0.005989047675920379,0.016040464181241963
GOOGL,-14,0.004496185638430066,0.020536649819672032
GOOGL,-13,0.0022560311415154802,0.02279268096118751
GOOGL,-12,-0.001458703261678695,0.021333977699508816
GOOGL,-11,0.003372809010211711,0.024706786709720527
GOOGL,-10,-0.0014971825562878386,0.02320960415343269
GOOGL,-9,-0.006958488021332948,0.01625111613209974
GOOGL,-8,-0.005312603149655038,0.010938512982444703
GOOGL,-7,-0.00038700878788637365,0.01055150419455833
GOOGL,-6,0.0004130823833189619,0.010964586577877291
GOOGL,-5,0.006444825449192416,0.017409412027069707
GOOGL,-4,-0.0012853103065295244,0.016124101720540185
GOOGL,-3,0.00196029192406775,0.018084393644607934
GOOGL,-2,0.008554437878469665,0.026638831523077597
GOOGL,-1,0.0016916971910336388,0.028330528714111236
GOOGL,0,0.003619277218884104,0.03194980593299534
GOOGL,1,-0.0014217745460586568,0.030528031386936685
GOOGL,2,-0.002304826918435726,0.02822320446850096
GOOGL,3,-0.00539227273215381,0.02283093173634715
GOOGL,4,-0.01804446025212531,0.00478647148422184
GOOGL,5,0.0015929823384258311,0.0063794538226476715
GOOGL,6,-0.0035203290256602734,0.002859124796987398
GOOGL,7,-0.0029491150342298798,-8.99902372424816e-05
GOOGL,8,-0.0005080876709822307,-0.0005980779082247123
GOOGL,9,-0.0013324786441241661,-0.0019305565523488784
GOOGL,10,-0.00022263715793147893,-0.0021531937102803574
GOOGL,11,-0.004777738316650722,-0.00693093202693108
GOOGL,12,0.00980513205186914,0.0028742000249380607
GOOGL,13,-0.0005229216484944549,0.0023512783764436055
GOOGL,14,-0.0009374806748038752,0.0014137977016397305
GOOGL,15,0.002255162692239621,0.0036689603938793516
GOOGL,16,-0.0019386595969132178,0.0017303007969661334
GOOGL,17,0.0008440846193502501,0.0025743854163163835
GOOGL,18,-0.0016356923498663915,0.000938693066449992
GOOGL,19,0.0062410269882796545,0.007179720054729647
GOOGL,20,0.0014924880902079335,0.00867220814493758
NVDA,-20,0.004283685722897789,0.004283685722897789
NVDA,-19,-0.0002844537026895304,0.003999232020208259
NVDA,-18,0.007701826333905922,0.011701058354114181
NVDA,-16,0.0030659302792622996,0.014766988633376481
NVDA,-15,-0.0008159145947485699,0.01395107403862791
NVDA,-14,0.00027978439163979627,0.014230858430267708
NVDA,-13,-0.0005701711609788504,0.013660687269288856
NVDA,-12,0.0019976250613982136,0.01565831233068707
NVDA,-11,-0.019305303558017826,-0.0036469912273307536
NVDA,-9,0.007897045355042346,0.004250054127711593
NVDA,-8,0.003235246206986944,0.0074853003346985365
NVDA,-7,-0.0006847908876533603,0.006800509447045177
NVDA,-6,0.00508850332375691,0.011889012770802086
NVDA,-5,0.0004484525295948992,0.012337465300396986
NVDA,-4,-0.005658814295260843,0.006678651005136142
NVDA,-2,0.001315914266287819,0.007994565271423962
NVDA,-1,0.00038148209225300476,0.008376047363676966
NVDA,0,0.0011530989241530644,0.00952914628783003
NVDA,1,0.02448514900835062,0.03401429529618065
NVDA,2,-0.014004531131085988,0.02000976416509466
NVDA,3,-0.018023588057140105,0.0019861761079545542
NVDA,5,-0.01108884871661468,-0.009102672608660125
NVDA,6,0.0029904243204611587,-0.006112248288198966
NVDA,7,-0.005383479045178082,-0.011495727333377049
NVDA,8,-0.004594244126806959,-0.016089971460184007
NVDA,9,-0.00794471205878999,-0.024034683518973997
NVDA,10,-0.007542665123150518,-0.03157734864212451
NVDA,12,0.006219730248875032,-0.025357618393249483
NVDA,13,0.002120606618461154,-0.02323701177478833
NVDA,14,0.007528435199561132,-0.015708576575227194
NVDA,15,0.0064034350581155045,-0.009305141517111691
NVDA,16,-0.00834811487212955,-0.017653256389241243
NVDA,17,0.008425707053515002,-0.009227549335726238
NVDA,19,-0.006809028364485938,-0.016036577700212176
NVDA,20,0.0003965191049514447,-0.01564005859526073
