ticker,event_day,abnormal_return,caar
AAPL,-20,-0.002271430455573294,-0.002271430455573294
AAPL,-19,-0.0013415251875956125,-0.0036129556431689063
AAPL,-18,-0.002894584015682102,-0.006507539658851008
AAPL,-17,-0.0024605184182866125,-0.00896805807713762
AAPL,-16,0.0007282354815017771,-0.008239822595635844
AAPL,-15,-0.0028629381763623837,-0.011102760771998227
AAPL,-14,-0.001907772616884049,-0.013010533388882277
AAPL,-13,-0.001214814976214734,-0.01422534836509701
AAPL,-12,-0.0033026474907271075,-0.017527995855824118
AAPL,-11,0.001438047156462442,-0.016089948699361676
AAPL,-10,0.0019017642419034044,-0.01418818445745827
AAPL,-9,0.00221965890219424,-0.01196852555526403
AAPL,-8,0.004051362735151457,-0.007917162820112573
AAPL,-7,0.0007057223840482045,-0.007211440436064369
AAPL,-6,0.0012370045848923501,-0.0059744358511720184
AAPL,-5,0.0007375346882463499,-0.005236901162925669
AAPL,-4,-0.0008008714923056151,-0.0060377726552312844
AAPL,-3,0.0016189512359820035,-0.004418821419249281
AAPL,-2,0.00027487268563967905,-0.004143948733609602
AAPL,-1,-0.004490008018246997,-0.0086339567518566
AAPL,0,-0.001170105520901207,-0.009804062272757805
AAPL,1,-0.0007092801371385869,-0.010513342409896393
AAPL,2,-0.0016138715830347886,-0.012127213992931181
AAPL,3,-0.0037961828203312395,-0.015923396813262422
AAPL,4,-0.005188543149612668,-0.02111193996287509
AAPL,5,0.003608380202371397,-0.01750355976050369
AAPL,6,0.000684269047206264,-0.01681929071329743
AAPL,7,-0.0009804991952043253,-0.017799789908501753
AAPL,8,-0.0006537322461401591,-0.01845352215464191
AAPL,9,0.005232738407325142,-0.01322078374731677
AAPL,10,0.0023901273120464778,-0.010830656435270293
AAPL,11,0.0003135884397115584,-0.010517067995558734
AAPL,12,-0.0005949601046495,-0.011112028100208234
AAPL,13,0.00044316438558725826,-0.010668863714620976
AAPL,14,0.00021600406893110502,-0.01045285964568987
AAPL,15,-0.002439299936086432,-0.012892159581776303
AAPL,16,-0.0072138852318077845,-0.020106044813584086
AAPL,17,-0.00013557629100777107,-0.020241621104591857
AAPL,18,-0.0005899269214611896,-0.020831548026053047
AAPL,19,-0.0035410219962062127,-0.02437257002225926
AAPL,20,0.008149672542776997,-0.016222897479482263
GOOGL,-20,0.0015954075083116437,0.0015954075083116437
GOOGL,-19,-0.00018356261030193045,0.0014118448980097132
GOOGL,-18,-7.779849123402217e-05,0.001334046406775691
GOOGL,-17,0.001337558957195114,0.002671605363970805
GOOGL,-16,-0.0048308759702375866,-0.0021592706062667816
GOOGL,-15,0.00235373268338324,0.00019446207711645846
GOOGL,-14,-0.002552101868736961,-0.0023576397916205026
GOOGL,-13,-0.0019861963235539974,-0.0043438361151745
GOOGL,-12,-0.0006815676282202438,-0.005025403743394744
GOOGL,-11,0.0006164263013871436,-0.0044089774420076
GOOGL,-10,0.0008458618868527397,-0.0035631155551548604
GOOGL,-9,0.0007327441363380771,-0.0028303714188167833
GOOGL,-8,0.001543874109217032,-0.0012864973095997512
GOOGL,-7,0.002235746227277001,0.0009492489176772497
GOOGL,-6,-0.0008783787913214513,7.087012635579844e-05
GOOGL,-5,-0.0010999797397249367,-0.0010291096133691383
GOOGL,-4,-0.004845898516798427,-0.005875008130167565
GOOGL,-3,0.0009518226924450388,-0.0049231854377225276
GOOGL,-2,-0.0013491109904840552,-0.006272296428206582
GOOGL,-1,-0.002243552163552215,-0.008515848591758798
GOOGL,0,-0.0021483220364830976,-0.010664170628241895
GOOGL,1,0.00442260716737537,-0.006241563460866526
GOOGL,2,0.0009717028846479141,-0.005269860576218611
GOOGL,3,0.0010445308983809136,-0.004225329677837698
GOOGL,4,0.0015080533301166114,-0.0027172763477210865
GOOGL,5,0.003302839626197888,0.0005855632784768014
GOOGL,6,0.0034050161767984837,0.0039905794552752855
GOOGL,7,0.0011089386166650017,0.005099518071940287
GOOGL,8,-0.002262166466595326,0.002837351605344961
GOOGL,9,8.084544893311206e-05,0.002918197054278073
GOOGL,10,0.0010084116645468924,0.0039266087188249655
GOOGL,11,-0.00040366188858698355,0.0035229468302379816
GOOGL,12,0.0020527841184247776,0.0055757309486627596
GOOGL,13,0.0019234172704387423,0.0074991482191015015
GOOGL,14,0.0011605280165614352,0.008659676235662937
GOOGL,15,0.00494561929541061,0.013605295531073546
GOOGL,16,-0.0031686696509617253,0.010436625880111822
GOOGL,17,0.0018221090140123856,0.012258734894124207
GOOGL,18,0.007575074074455896,0.019833808968580103
GOOGL,19,-0.0008027263937088107,0.01903108257487129
GOOGL,20,-0.0005840076927212851,0.018447074882150007
NVDA,-20,-0.001418214826048776,-0.001418214826048776
NVDA,-19,0.00019791406812964704,-0.0012203007579191288
NVDA,-18,0.003575791680802551,0.0023554909228834225
NVDA,-17,0.0010016615051121561,0.003357152427995578
NVDA,-16,-0.004820922884746131,-0.0014637704567505524
NVDA,-15,-0.0017028758552448833,-0.003166646311995436
NVDA,-14,-0.00014726415350665677,-0.0033139104655020924
NVDA,-13,0.0006565783769718152,-0.0026573320885302774
NVDA,-12,-0.0021283700965935783,-0.004785702185123856
NVDA,-11,-0.005571693825115369,-0.010357396010239224
NVDA,-10,-0.004367339722617863,-0.014724735732857087
NVDA,-9,-0.0017657965350865792,-0.016490532267943666
NVDA,-8,0.0018613299525999923,-0.014629202315343674
NVDA,-7,0.00413253393699683,-0.010496668378346844
NVDA,-6,-0.003023235259285874,-0.013519903637632719
NVDA,-5,0.00048561618187928113,-0.013034287455753437
NVDA,-4,-0.00039019053569579177,-0.013424477991449229
NVDA,-3,0.003084467414685357,-0.010340010576763873
NVDA,-2,-0.007211456807194779,-0.01755146738395865
NVDA,-1,-3.7650337093870585e-05,-0.01758911772105252
NVDA,0,0.0011584137922183884,-0.016430703928834132
NVDA,1,-0.0005785414350634075,-0.01700924536389754
NVDA,2,0.007257489631511223,-0.009751755732386319
