event_id,ticker,date,event_day,abnormal_return
AAPL_2006-03-31,AAPL,2006-03-27,-4,-0.008202484435025378
AAPL_2006-03-31,AAPL,2006-03-28,-3,-0.008520149992229796
AAPL_2006-03-31,AAPL,2006-03-29,-2,0.03825436286589891
AAPL_2006-03-31,AAPL,2006-03-30,-1,0.000792376932384941
AAPL_2006-03-31,AAPL,2006-03-31,0,-0.0010521489317106714
AAPL_2006-03-31,AAPL,2006-04-03,3,0.00025761036037554486
AAPL_2006-03-31,AAPL,2006-04-04,4,-0.0341004778360166
AAPL_2006-03-31,AAPL,2006-04-05,5,0.08989171113654984
AAPL_2006-06-30,AAPL,2006-06-26,-4,-0.0029873648746276925
AAPL_2006-06-30,AAPL,2006-06-27,-3,-0.0023686625875035047
AAPL_2006-06-30,AAPL,2006-06-28,-2,-0.031772606063592806
AAPL_2006-06-30,AAPL,2006-06-29,-1,0.0095660734567585
AAPL_2006-06-30,AAPL,2006-06-30,0,-0.02544062098779108
AAPL_2006-06-30,AAPL,2006-07-03,3,-0.0022455425505982524
AAPL_2006-06-30,AAPL,2006-07-05,5,0.013579536977674708
AAPL_2007-12-31,AAPL,2007-12-26,-5,-0.008236024369005784
AAPL_2007-12-31,AAPL,2007-12-27,-4,0.019648153790215516
AAPL_2007-12-31,AAPL,2007-12-28,-3,0.004711597158329151
AAPL_2007-12-31,AAPL,2007-12-31,0,-0.0010599694177687701
AAPL_2007-12-31,AAPL,2008-01-02,2,0.0048139913300280605
AAPL_2007-12-31,AAPL,2008-01-03,3,0.0003365618643459212
AAPL_2007-12-31,AAPL,2008-01-04,4,-0.02354443510817973
AAPL_2008-03-31,AAPL,2008-03-26,-5,0.037132729704704846
AAPL_2008-03-31,AAPL,2008-03-27,-4,-0.007240002546626687
AAPL_2008-03-31,AAPL,2008-03-28,-3,0.03139361198369781
AAPL_2008-03-31,AAPL,2008-03-31,0,-0.007788727748021218
AAPL_2008-03-31,AAPL,2008-04-01,1,-0.011020793295004869
AAPL_2008-03-31,AAPL,2008-04-02,2,-0.012926675408999404
AAPL_2008-03-31,AAPL,2008-04-03,3,0.024822729722736022
AAPL_2008-03-31,AAPL,2008-04-04,4,0.005927723977942634
AAPL_2008-06-30,AAPL,2008-06-25,-5,0.0062179469928400205
AAPL_2008-06-30,AAPL,2008-06-26,-4,-0.010490796475873261
AAPL_2008-06-30,AAPL,2008-06-27,-3,0.012668080259105414
AAPL_2008-06-30,AAPL,2008-06-30,0,-0.0029166843270136637
AAPL_2008-06-30,AAPL,2008-07-01,1,0.03644128415091481
AAPL_2008-06-30,AAPL,2008-07-02,2,-0.007991521885323316
AAPL_2008-06-30,AAPL,2008-07-03,3,0.014619511768936323
AAPL_2008-09-30,AAPL,2008-09-25,-5,0.004803315035944219
AAPL_2008-09-30,AAPL,2008-09-26,-4,-0.02722257940050336
AAPL_2008-09-30,AAPL,2008-09-29,-1,-0.06776649869247565
AAPL_2008-09-30,AAPL,2008-09-30,0,0.01706438138600644
AAPL_2008-09-30,AAPL,2008-10-01,1,-0.03319633465747529
AAPL_2008-09-30,AAPL,2008-10-02,2,-0.028278191034023334
AAPL_2008-09-30,AAPL,2008-10-03,3,-0.013875970015918459
AAPL_2008-12-31,AAPL,2008-12-26,-5,0.003825805758214232
AAPL_2008-12-31,AAPL,2008-12-29,-2,0.024626464958826512
AAPL_2008-12-31,AAPL,2008-12-30,-1,-0.03070916490797555
AAPL_2008-12-31,AAPL,2008-12-31,0,-0.026832714137465442
AAPL_2008-12-31,AAPL,2009-01-02,2,0.02604065171908211
AAPL_2008-12-31,AAPL,2009-01-05,5,0.04690720428704481
AAPL_2009-03-31,AAPL,2009-03-26,-5,-0.00472302876643791
AAPL_2009-03-31,AAPL,2009-03-27,-4,-0.003636472943270918
AAPL_2009-03-31,AAPL,2009-03-30,-1,-0.00010514395653688988
AAPL_2009-03-31,AAPL,2009-03-31,0,-0.012730337852178156
AAPL_2009-03-31,AAPL,2009-04-01,1,0.0190943524671457
AAPL_2009-03-31,AAPL,2009-04-02,2,0.006952258880982956
AAPL_2009-03-31,AAPL,2009-04-03,3,0.014480233867814827
AAPL_2009-06-30,AAPL,2009-06-25,-5,0.004740323135797947
AAPL_2009-06-30,AAPL,2009-06-26,-4,0.010162333998146578
AAPL_2009-06-30,AAPL,2009-06-29,-1,-0.01038503451987735
AAPL_2009-06-30,AAPL,2009-06-30,0,0.004602631604495569
AAPL_2009-06-30,AAPL,2009-07-01,1,-0.006821417177907616
AAPL_2009-06-30,AAPL,2009-07-02,2,0.00023941235338654707
AAPL_2009-09-30,AAPL,2009-09-25,-5,-0.004083994881553789
AAPL_2009-09-30,AAPL,2009-09-28,-2,0.002613813675391506
AAPL_2009-09-30,AAPL,2009-09-29,-1,-0.0037020009768632513
AAPL_2009-09-30,AAPL,2009-09-30,0,-0.0013054245606332893
AAPL_2009-09-30,AAPL,2009-10-01,1,0.0010147235896518399
AAPL_2009-09-30,AAPL,2009-10-02,2,0.023732715445235968
AAPL_2009-09-30,AAPL,2009-10-05,5,-0.004609552007165164
