event_day,AAR,CAAR
-10,0.0008175855393514269,0.0008175855393514269
-9,-0.0004708551574334253,0.00034673038191800163
-8,0.0011956837141156027,0.0015424140960336044
-7,0.001789489547807417,0.0033319036438410215
-6,0.0009725302494603599,0.0043044338933013815
-5,-0.0007967196090553092,0.0035077142842460723
-4,-0.000879322057859348,0.0026283922263867243
-3,0.002771255186300092,0.005399647412686816
-2,0.0004689069017546463,0.005868554314441462
-1,0.0008208417792319604,0.0066893960936734225
0,0.0015031200960735635,0.008192516189746986
1,0.012985589411343215,0.0211781056010902
2,-0.000560904488738944,0.02061720111235126
3,-0.003399781482261164,0.017217419630090096
4,-0.0048314604315419785,0.012385959198548117
5,-0.000529940812482881,0.011856018386065236
6,0.0003830727481760096,0.012239091134241245
7,-0.00016454043632666357,0.012074550697914582
8,0.0005897153677548242,0.012664266065669406
9,-0.0020349082024346847,0.010629357863234722
10,-0.003340092643019431,0.007289265220215292
11,-0.0012156909244835014,0.006073574295731791
12,0.003078788982697978,0.009152363278429769
13,-0.0004832059237400084,0.00866915735468976
14,0.00035391208161078324,0.009023069436300544
15,5.7575301387006735e-06,0.009028826966439245
16,-0.0006449521966910658,0.00838387476974818
17,-0.0006045513080193582,0.007779323461728821
18,-0.0017773577866008927,0.006001965675127929
19,-0.0005216893610406116,0.005480276314087318
20,7.304172677108838e-06,0.005487580486764427
