event_day,AAR,CAAR
-20,0.003556483818515262,0.003556483818515262
-19,0.0016642360888631505,0.005220719907378412
-18,0.004134131200067653,0.009354851107446065
-17,0.0013782339344511577,0.010733085041897223
-16,0.002155259663655489,0.012888344705552713
-15,-0.0021885417996207216,0.01069980290593199
-14,0.001987149882851404,0.012686952788783394
-13,0.000491805754973471,0.013178758543756865
-12,0.0004482365027775305,0.013626995046534396
-11,0.0013111624130999347,0.014938157459634331
-10,8.817924134131016e-05,0.015026336700975642
-9,0.0026971891093630594,0.017723525810338703
-8,-0.0007712256404685808,0.01695230016987012
-7,-0.0005339628885547928,0.01641833728131533
-6,0.001788038884247507,0.018206376165562838
-5,0.003136481769414476,0.021342857934977314
-4,-0.0016497689722571342,0.01969308896272018
-3,0.0038489811150194666,0.023542070077739646
-2,0.0019258890547798415,0.025467959132519487
-1,3.411504558827982e-05,0.025502074178107768
0,0.0020243161522412573,0.027526390330349024
1,0.009142525165140783,0.036668915495489805
2,-0.008572525603784081,0.028096389891705723
3,-0.006444882342569334,0.02165150754913639
4,-0.01192860880862254,0.009722898740513849
5,-0.0016572884472242921,0.008065610293289557
6,0.0004280386372989712,0.008493648930588528
7,-0.0020311125894666372,0.006462536341121891
8,-0.001363252017067692,0.005099284324054199
9,-0.004980607424629449,0.00011867689942474981
10,-0.0008326394883663989,-0.0007139625889416491
11,-0.0014564623795663611,-0.00217042496850801
12,0.005300468910811241,0.0031300439423032306
13,-0.0001476194574138991,0.0029824244848893314
14,0.0028964465643339216,0.005878871049223253
15,0.0036029058400915484,0.009481776889314801
16,-0.00547491078323947,0.004006866106075331
17,0.0014758864888639795,0.005482752594939311
18,-0.0032187147681736186,0.0022640378267656924
19,-0.0010493439074975297,0.0012146939192681627
20,0.0004894947073746964,0.001704188626642859
