event_id,ticker,date,event_day,abnormal_return
AAPL_2005-07-13,AAPL,2005-06-23,-20,0.02619087859597523
AAPL_2005-07-13,AAPL,2005-06-24,-19,-0.010008767886018018
AAPL_2005-07-13,AAPL,2005-06-27,-16,-0.007323185501401115
AAPL_2005-07-13,AAPL,2005-06-28,-15,-0.016779352925213483
AAPL_2005-07-13,AAPL,2005-06-29,-14,-0.019461412561969715
AAPL_2005-07-13,AAPL,2005-06-30,-13,0.02088794778859994
AAPL_2005-07-13,AAPL,2005-07-01,-12,-0.0056872206254409505
AAPL_2005-07-13,AAPL,2005-07-05,-8,0.026908309728459454
AAPL_2005-07-13,AAPL,2005-07-06,-7,-0.006774123103238034
AAPL_2005-07-13,AAPL,2005-07-07,-6,-0.006468056813378143
AAPL_2005-07-13,AAPL,2005-07-08,-5,-0.011117674776763245
AAPL_2005-07-13,AAPL,2005-07-11,-2,-0.023686396947350852
AAPL_2005-07-13,AAPL,2005-07-12,-1,-0.0012176572125483353
AAPL_2005-07-13,AAPL,2005-07-13,0,-0.004446332632136458
AAPL_2005-07-13,AAPL,2005-07-14,1,0.04617970508952543
AAPL_2005-07-13,AAPL,2005-07-15,2,0.007870561296905308
AAPL_2005-07-13,AAPL,2005-07-18,5,0.006760924086149518
AAPL_2005-07-13,AAPL,2005-07-19,6,0.019346165900100014
AAPL_2005-07-13,AAPL,2005-07-20,7,0.00018536133308431728
AAPL_2005-07-13,AAPL,2005-07-21,8,-0.0072515609850816965
AAPL_2005-07-13,AAPL,2005-07-22,9,0.01463610580848149
AAPL_2005-07-13,AAPL,2005-07-25,12,-0.00016665724763035347
AAPL_2005-07-13,AAPL,2005-07-26,13,-0.006985438161010897
AAPL_2005-07-13,AAPL,2005-07-27,14,-0.007125657525987761
AAPL_2005-07-13,AAPL,2005-07-28,15,-0.015039334599604902
AAPL_2005-07-13,AAPL,2005-07-29,16,-0.011971254248457849
AAPL_2005-07-13,AAPL,2005-08-01,19,0.0031143724349682027
AAPL_2005-07-13,AAPL,2005-08-02,20,-0.012554322307726278
AAPL_2005-10-11,AAPL,2005-09-21,-20,0.0017810171785937953
AAPL_2005-10-11,AAPL,2005-09-22,-19,-0.013340490470314874
AAPL_2005-10-11,AAPL,2005-09-23,-18,0.02036896380713883
AAPL_2005-10-11,AAPL,2005-09-26,-15,0.00961506846706529
AAPL_2005-10-11,AAPL,2005-09-27,-14,-0.000643952012262106
AAPL_2005-10-11,AAPL,2005-09-28,-13,-0.049126524366025784
AAPL_2005-10-11,AAPL,2005-09-29,-12,-0.0013134656366039221
AAPL_2005-10-11,AAPL,2005-09-30,-11,0.006939332815168816
AAPL_2005-10-11,AAPL,2005-10-03,-8,0.009944781467559803
AAPL_2005-10-11,AAPL,2005-10-04,-7,0.003198604459187718
AAPL_2005-10-11,AAPL,2005-10-05,-6,0.0130528730667719
AAPL_2005-10-11,AAPL,2005-10-06,-5,0.006165915713417246
AAPL_2005-10-11,AAPL,2005-10-07,-4,-0.016129396006903753
AAPL_2005-10-11,AAPL,2005-10-10,-1,-0.005285522344840329
AAPL_2005-10-11,AAPL,2005-10-11,0,0.0321775635955587
AAPL_2005-10-11,AAPL,2005-10-12,1,-0.019658036944083187
AAPL_2005-10-11,AAPL,2005-10-13,2,0.07048186534316385
AAPL_2005-10-11,AAPL,2005-10-14,3,-0.010658189753423038
AAPL_2005-10-11,AAPL,2005-10-17,6,-0.017354583352727063
AAPL_2005-10-11,AAPL,2005-10-18,7,-0.011908653551835709
AAPL_2005-10-11,AAPL,2005-10-19,8,0.010286110706783543
AAPL_2005-10-11,AAPL,2005-10-20,9,0.04455764544988819
AAPL_2005-10-11,AAPL,2005-10-21,10,-0.023456327598599624
AAPL_2005-10-11,AAPL,2005-10-24,13,-0.013451830693916027
AAPL_2005-10-11,AAPL,2005-10-25,14,-0.007125727299968561
AAPL_2005-10-11,AAPL,2005-10-26,15,0.03030393422353031
AAPL_2005-10-11,AAPL,2005-10-27,16,0.01255685824361024
AAPL_2005-10-11,AAPL,2005-10-28,17,-0.03156687136127986
AAPL_2005-10-11,AAPL,2005-10-31,20,0.02457368626631924
AAPL_2006-01-18,AAPL,2005-12-29,-20,-0.023539196383112422
AAPL_2006-01-18,AAPL,2005-12-30,-19,0.01695667089522019
AAPL_2006-01-18,AAPL,2006-01-03,-15,-0.004121877505892185
AAPL_2006-01-18,AAPL,2006-01-04,-14,-0.01832050681704947
AAPL_2006-01-18,AAPL,2006-01-05,-13,-0.019056320584118325
AAPL_2006-01-18,AAPL,2006-01-06,-12,-0.009280269074781126
AAPL_2006-01-18,AAPL,2006-01-09,-9,-0.014666825015944567
AAPL_2006-01-18,AAPL,2006-01-10,-8,0.055305434210456944
AAPL_2006-01-18,AAPL,2006-01-11,-7,0.01995824896481568
AAPL_2006-01-18,AAPL,2006-01-12,-6,0.0076683907641219105
AAPL_2006-01-18,AAPL,2006-01-13,-5,0.013175647534155293
AAPL_2006-01-18,AAPL,2006-01-17,-1,-0.0026265875008150107
AAPL_2006-01-18,AAPL,2006-01-18,0,-0.010853406201548933
AAPL_2006-01-18,AAPL,2006-01-19,1,-0.061860783380099565
AAPL_2006-01-18,AAPL,2006-01-20,2,0.012360230611064962
AAPL_2006-01-18,AAPL,2006-01-23,5,0.013689485489412036
AAPL_2006-01-18,AAPL,2006-01-24,6,-0.02986861908434868
AAPL_2006-01-18,AAPL,2006-01-25,7,-0.022630760047749242
AAPL_2006-01-18,AAPL,2006-01-26,8,-0.043019709558077504
AAPL_2006-01-18,AAPL,2006-01-27,9,-0.031198272745158382
AAPL_2006-01-18,AAPL,2006-01-30,12,0.03451501831115793
AAPL_2006-01-18,AAPL,2006-01-31,13,0.011153140976562396
AAPL_2006-01-18,AAPL,2006-02-01,14,-0.013996115684300557
AAPL_2006-01-18,AAPL,2006-02-02,15,-0.015989008588508463
AAPL_2006-01-18,AAPL,2006-02-03,16,0.01348483655496815
AAPL_2006-01-18,AAPL,2006-02-06,19,-0.06787661916500899
