fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin,event_id_x,ticker,revenue_growth,margin_trend,profitability,revenue_growth_regime,eps_surprise_regime,profitability_regime,margin_trend_regime,financial_strength_regime,event_id_reported,event_id_y,CAR_m1_p1,CAR_m2_p2,CAR_m5_p5,eps_bin2
2005-09-30,2005-10-11,0.01,0.01,0.0,0.0,post-market,AAPL,3678000000,1035000000,418000000,430000000,0.2814029363784666,0.1136487221315932,0.1169113648722131,AAPL_2005-09-30,AAPL,,,0.1136487221315932,missing,small,medium,missing,mixed,AAPL_2005-10-11,AAPL_2005-10-11,0.012122451813385397,0.0927763227589544,0.058988294258651895,0
2005-12-31,2006-01-18,0.02,0.02,0.0,0.0,post-market,AAPL,5749000000,1564000000,750000000,565000000,0.2720473125761002,0.1304574708644982,0.0982779613845886,AAPL_2005-12-31,AAPL,0.5630777596519847,-0.0186334034876245,0.1304574708644982,high_growth,small,medium,contraction,mixed,AAPL_2006-01-18,AAPL_2006-01-18,-0.0844189610725117,-0.08870033062142761,-0.06380974245973431,0
2006-03-31,2006-04-19,0.02,0.02,0.0,0.0,post-market,AAPL,4359000000,1297000000,529000000,410000000,0.2975453085570085,0.1213581096581784,0.0940582702454691,AAPL_2006-03-31,AAPL,-0.2417811793355366,-0.0042196911391194,0.1213581096581784,negative_growth,small,medium,stable,mixed,AAPL_2006-04-19,AAPL_2006-04-19,0.0144410693009112,-0.0008143444728051002,-0.0113405781276163,0
2006-06-30,2006-07-19,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1325000000,566000000,472000000,0.3032036613272311,0.1295194508009153,0.1080091533180778,AAPL_2006-06-30,AAPL,0.0025235145675612,0.0139508830726086,0.1295194508009153,moderate_growth,small,medium,expansion,mixed,AAPL_2006-07-19,AAPL_2006-07-19,0.15383291184939998,0.20873590387840008,0.1700229861207925,0
2006-09-30,2006-10-18,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1412000000,608000000,542000000,0.323112128146453,0.1391304347826087,0.1240274599542334,AAPL_2006-09-30,AAPL,0.0,0.0160183066361555,0.1391304347826087,moderate_growth,small,medium,expansion,mixed,AAPL_2006-10-18,AAPL_2006-10-18,0.053753686751464295,0.06518432126359079,0.06557446145514259,0
2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333,post-market,AAPL,7115000000,2220000000,1322000000,1004000000,0.3120168657765285,0.1858046380885453,0.1411103302881236,AAPL_2006-12-31,AAPL,0.6281464530892449,0.0170828703338901,0.1858046380885453,high_growth,large_positive,medium,expansion,mixed,AAPL_2007-01-17,AAPL_2007-01-17,-0.0341197327133759,-0.0457545946593359,-0.0780338537685185,1
2007-03-31,2007-04-25,0.03,0.02,0.01,50.0,post-market,AAPL,5264000000,1849000000,986000000,770000000,0.3512537993920973,0.1873100303951367,0.1462765957446808,AAPL_2007-03-31,AAPL,-0.2601546029515109,0.0051662654565572,0.1873100303951367,negative_growth,large_positive,medium,expansion,mixed,AAPL_2007-04-25,AAPL_2007-04-25,0.037248397283205996,0.073750933824492,0.0829397289383115,1
2007-06-30,2007-07-25,0.03,0.03,0.0,0.0,post-market,AAPL,5410000000,1995000000,1041000000,818000000,0.3687615526802218,0.1924214417744917,0.1512014787430683,AAPL_2007-06-30,AAPL,0.0277355623100303,0.0049248829983875,0.1924214417744917,moderate_growth,small,medium,stable,mixed,AAPL_2007-07-25,AAPL_2007-07-25,0.043993107473533306,0.037552745501545304,0.04380562678417801,0
2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333,post-market,AAPL,6217000000,2090000000,1060000000,904000000,0.3361750040212321,0.1705002412739263,0.1454077529354994,AAPL_2007-09-30,AAPL,0.1491682070240296,-0.0057937258075689,0.1705002412739263,high_growth,large_positive,medium,contraction,mixed,AAPL_2007-10-22,AAPL_2007-10-22,0.0507101333805169,0.0558833001892351,0.0400452204537017,1
2007-12-31,2008-01-22,0.06,0.06,0.0,0.0,post-market,AAPL,9608000000,3332000000,2126000000,1581000000,0.3467943380516236,0.2212739383846794,0.1645503746877602,AAPL_2007-12-31,AAPL,0.5454399227923437,0.0191426217522608,0.2212739383846794,high_growth,small,medium,expansion,mixed,AAPL_2008-01-22,AAPL_2008-01-22,-0.1327679119437649,-0.19097211274866938,-0.1757055270685392,0
2008-03-31,2008-04-23,0.0425,0.0375,0.005,13.3333,post-market,AAPL,7512000000,2474000000,1315000000,1045000000,0.3293397231096912,0.1750532481363152,0.1391107561235356,AAPL_2008-03-31,AAPL,-0.2181515403830142,-0.0254396185642246,0.1750532481363152,negative_growth,large_positive,medium,contraction,mixed,AAPL_2008-04-23,AAPL_2008-04-23,-0.005913839902686298,0.0450806554041969,0.06649453261421111,1
2008-06-30,2008-07-21,0.0425,0.0375,0.005,13.3333,post-market,AAPL,7464000000,2600000000,1392000000,1072000000,0.3483386923901393,0.1864951768488746,0.1436227224008574,AAPL_2008-06-30,AAPL,-0.0063897763578274,0.0045119662773218,0.1864951768488746,negative_growth,large_positive,medium,stable,mixed,AAPL_2008-07-21,AAPL_2008-07-21,-0.030322291794952203,-0.015624419087899402,-0.0964078571629183,1
2008-09-30,2008-10-21,0.045,0.04,0.005,12.5,post-market,AAPL,7895000000,2739000000,1442000000,1136000000,0.3469284357188094,0.1826472450918302,0.143888537048765,AAPL_2008-09-30,AAPL,0.057743837084673,0.0002658146479075,0.1826472450918302,moderate_growth,large_positive,medium,stable,mixed,AAPL_2008-10-21,AAPL_2008-10-21,0.0672475125334409,0.0912278689459628,0.04611481983752701,1
2008-12-31,2009-01-21,0.0625,0.05,0.0125,25.0,post-market,AAPL,11880000000,4507000000,3101000000,2255000000,0.3793771043771043,0.261026936026936,0.1898148148148148,AAPL_2008-12-31,AAPL,0.5047498416719443,0.0459262777660497,0.261026936026936,high_growth,large_positive,high,expansion,strong_fundamentals,AAPL_2009-01-21,AAPL_2009-01-21,0.123481811461062,0.1164928268562632,0.09785378736935671,1
2009-03-31,2009-04-22,0.0475,0.04,0.0075,18.75,post-market,AAPL,9084000000,3627000000,2323000000,1620000000,0.3992734478203434,0.2557243505063848,0.178335535006605,AAPL_2009-03-31,AAPL,-0.2353535353535353,-0.0114792798082097,0.2557243505063848,negative_growth,large_positive,high,contraction,mixed,AAPL_2009-04-22,AAPL_2009-04-22,0.0127589838001314,-0.014037359107734598,0.010391665159653202,1
