fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin,event_id,ticker,revenue_growth,margin_trend,profitability,revenue_growth_regime,eps_surprise_regime,profitability_regime,margin_trend_regime,financial_strength_regime
2005-09-30,2005-10-11,0.01,0.01,0.0,0.0,post-market,AAPL,3678000000,1035000000,418000000,430000000,0.2814029363784666,0.1136487221315932,0.1169113648722131,AAPL_2005-09-30,AAPL,,,0.1136487221315932,missing,small,medium,missing,mixed
2005-12-31,2006-01-18,0.02,0.02,0.0,0.0,post-market,AAPL,5749000000,1564000000,750000000,565000000,0.2720473125761002,0.1304574708644982,0.0982779613845886,AAPL_2005-12-31,AAPL,0.5630777596519847,-0.018633403487624503,0.1304574708644982,high_growth,small,medium,contraction,mixed
2006-03-31,2006-04-19,0.02,0.02,0.0,0.0,post-market,AAPL,4359000000,1297000000,529000000,410000000,0.2975453085570085,0.1213581096581784,0.0940582702454691,AAPL_2006-03-31,AAPL,-0.24178117933553667,-0.004219691139119491,0.1213581096581784,negative_growth,small,medium,stable,mixed
2006-06-30,2006-07-19,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1325000000,566000000,472000000,0.3032036613272311,0.1295194508009153,0.1080091533180778,AAPL_2006-06-30,AAPL,0.0025235145675612802,0.013950883072608694,0.1295194508009153,moderate_growth,small,medium,expansion,mixed
2006-09-30,2006-10-18,0.02,0.02,0.0,0.0,post-market,AAPL,4370000000,1412000000,608000000,542000000,0.323112128146453,0.1391304347826087,0.1240274599542334,AAPL_2006-09-30,AAPL,0.0,0.016018306636155596,0.1391304347826087,moderate_growth,small,medium,expansion,mixed
2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333,post-market,AAPL,7115000000,2220000000,1322000000,1004000000,0.3120168657765285,0.1858046380885453,0.1411103302881236,AAPL_2006-12-31,AAPL,0.6281464530892449,0.017082870333890193,0.1858046380885453,high_growth,large_positive,medium,expansion,mixed
2007-03-31,2007-04-25,0.03,0.02,0.01,50.0,post-market,AAPL,5264000000,1849000000,986000000,770000000,0.3512537993920973,0.1873100303951367,0.1462765957446808,AAPL_2007-03-31,AAPL,-0.26015460295151094,0.005166265456557212,0.1873100303951367,negative_growth,large_positive,medium,expansion,mixed
2007-06-30,2007-07-25,0.03,0.03,0.0,0.0,post-market,AAPL,5410000000,1995000000,1041000000,818000000,0.3687615526802218,0.1924214417744917,0.1512014787430683,AAPL_2007-06-30,AAPL,0.02773556231003038,0.004924882998387503,0.1924214417744917,moderate_growth,small,medium,stable,mixed
2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333,post-market,AAPL,6217000000,2090000000,1060000000,904000000,0.3361750040212321,0.1705002412739263,0.1454077529354994,AAPL_2007-09-30,AAPL,0.14916820702402966,-0.0057937258075689,0.1705002412739263,high_growth,large_positive,medium,contraction,mixed
2007-12-31,2008-01-22,0.06,0.06,0.0,0.0,post-market,AAPL,9608000000,3332000000,2126000000,1581000000,0.3467943380516236,0.2212739383846794,0.1645503746877602,AAPL_2007-12-31,AAPL,0.5454399227923437,0.019142621752260808,0.2212739383846794,high_growth,small,medium,expansion,mixed
