event_day,AAR,CAAR
-20,0.003556511273003788,0.003556511273003788
-19,0.001664190324319416,0.005220701597323204
-18,0.004134201023070736,0.00935490262039394
-17,0.001378242610401991,0.01073314523079593
-16,0.002155226935551694,0.012888372166347625
-15,-0.0021885211489578137,0.010699851017389812
-14,0.0019871124028211767,0.012686963420210988
-13,0.0004917653155308819,0.013178728735741871
-12,0.0004483296909833402,0.013627058426725212
-11,0.0013110885242699798,0.014938146950995192
-10,8.820245587395816e-05,0.015026349406869149
-9,0.0026971523802494196,0.017723501787118567
-8,-0.0007712216499262623,0.016952280137192306
-7,-0.0005339326116930171,0.01641834752549929
-6,0.0017880118838011724,0.018206359409300463
-5,0.003136505431362103,0.021342864840662567
-4,-0.0016497508950794788,0.01969311394558309
-3,0.0038490095812149516,0.02354212352679804
-2,0.001925894006857904,0.025468017533655945
-1,3.4063699837972454e-05,0.025502081233493918
0,0.0020243699330914403,0.027526451166585357
1,0.009142497955120987,0.036668949121706346
2,-0.00857245877529986,0.028096490346406485
3,-0.006445013768138149,0.021651476578268335
4,-0.0119286307103509,0.009722845867917435
5,-0.0016572630578464943,0.00806558281007094
6,0.0004280380522830696,0.00849362086235401
7,-0.0020311289371017422,0.006462491925252268
8,-0.00136320699747906,0.005099284927773208
9,-0.0049806327253534175,0.00011865220241979047
10,-0.0008326480381913382,-0.0007139958357715477
11,-0.00145653750359603,-0.002170533339367578
12,0.005300546207438131,0.0031300128680705527
13,-0.00014764309601348293,0.0029823697720570697
14,0.002896501281503807,0.005878871053560877
15,0.0036028517468139286,0.009481722800374806
16,-0.0054749564506375884,0.004006766349737218
17,0.0014759876934520323,0.00548275404318925
18,-0.0032187478194151712,0.002264006223774079
19,-0.001049384390892782,0.001214621832881297
20,0.0004895321608998991,0.0017041539937811961
