event_id,ticker,date,event_day,abnormal_return
AAPL_2022-01-27,AAPL,2022-01-07,-20,0.011190657956094105
AAPL_2022-01-27,AAPL,2022-01-10,-17,-0.0015641888081811862
AAPL_2022-01-27,AAPL,2022-01-11,-16,0.00030078283342833967
AAPL_2022-01-27,AAPL,2022-01-12,-15,-0.002508303031616948
AAPL_2022-01-27,AAPL,2022-01-13,-14,0.005850184401478199
AAPL_2022-01-27,AAPL,2022-01-14,-13,-0.002287927691931221
AAPL_2022-01-27,AAPL,2022-01-18,-9,0.005857897964123549
AAPL_2022-01-27,AAPL,2022-01-19,-8,-0.010889357706095719
AAPL_2022-01-27,AAPL,2022-01-20,-7,0.0020462147381334495
AAPL_2022-01-27,AAPL,2022-01-21,-6,0.015080616468642843
AAPL_2022-01-27,AAPL,2022-01-24,-3,-0.010578640417505347
AAPL_2022-01-27,AAPL,2022-01-25,-2,0.011677404366013588
AAPL_2022-01-27,AAPL,2022-01-26,-1,4.437710479368725e-05
AAPL_2022-01-27,AAPL,2022-01-27,0,0.006462645791256766
AAPL_2022-01-27,AAPL,2022-01-28,1,0.034669502693623365
AAPL_2022-01-27,AAPL,2022-01-31,4,-0.007598761410649024
AAPL_2022-01-27,AAPL,2022-02-01,5,-0.008952477585673468
AAPL_2022-01-27,AAPL,2022-02-02,6,-0.0023098435887133773
AAPL_2022-01-27,AAPL,2022-02-03,7,0.024717827613966327
AAPL_2022-01-27,AAPL,2022-02-04,8,-0.01685478180957891
AAPL_2022-01-27,AAPL,2022-02-07,11,0.003062869869662461
AAPL_2022-01-27,AAPL,2022-02-08,12,0.005799971468387885
AAPL_2022-01-27,AAPL,2022-02-09,13,-0.01431781436394383
AAPL_2022-01-27,AAPL,2022-02-10,14,-0.0013323283419629066
AAPL_2022-01-27,AAPL,2022-02-11,15,0.01173649635042295
AAPL_2022-01-27,AAPL,2022-02-14,18,-0.0008553909565823315
AAPL_2022-01-27,AAPL,2022-02-15,19,-0.0033830308590719754
AAPL_2022-01-27,AAPL,2022-02-16,20,-0.002132969196879879
AAPL_2022-04-28,AAPL,2022-04-08,-20,-0.0017825710035351654
AAPL_2022-04-28,AAPL,2022-04-11,-17,-0.0070759782880843725
AAPL_2022-04-28,AAPL,2022-04-12,-16,0.01309877233494217
AAPL_2022-04-28,AAPL,2022-04-13,-15,-0.0033180974880119563
AAPL_2022-04-28,AAPL,2022-04-14,-14,-0.012379121998332424
AAPL_2022-04-28,AAPL,2022-04-18,-10,-0.0040376202303257416
AAPL_2022-04-28,AAPL,2022-04-19,-9,-0.007234324034038347
AAPL_2022-04-28,AAPL,2022-04-20,-8,0.009715501673152235
AAPL_2022-04-28,AAPL,2022-04-21,-7,0.01127925531366664
AAPL_2022-04-28,AAPL,2022-04-22,-6,-0.007190230499841962
AAPL_2022-04-28,AAPL,2022-04-25,-3,-0.006417645056958003
AAPL_2022-04-28,AAPL,2022-04-26,-2,-0.0066390056453759436
AAPL_2022-04-28,AAPL,2022-04-27,-1,-0.002464070743169339
AAPL_2022-04-28,AAPL,2022-04-28,0,0.011794078310134085
AAPL_2022-04-28,AAPL,2022-04-29,1,0.0006888992445552508
AAPL_2022-04-28,AAPL,2022-05-02,4,-0.014465567334981229
AAPL_2022-04-28,AAPL,2022-05-03,5,0.006611134714301294
AAPL_2022-04-28,AAPL,2022-05-04,6,0.00924902885420336
AAPL_2022-04-28,AAPL,2022-05-05,7,-0.014450724181218816
AAPL_2022-04-28,AAPL,2022-05-06,8,0.011685946161925448
AAPL_2022-04-28,AAPL,2022-05-09,11,-0.0010992807236993654
AAPL_2022-04-28,AAPL,2022-05-10,12,0.0034496666601308394
AAPL_2022-04-28,AAPL,2022-05-11,13,-0.029103467707473504
AAPL_2022-04-28,AAPL,2022-05-12,14,-0.027243410551694443
AAPL_2022-04-28,AAPL,2022-05-13,15,-0.0022492251479442893
AAPL_2022-04-28,AAPL,2022-05-16,18,-0.0026339404953962583
AAPL_2022-04-28,AAPL,2022-05-17,19,0.0008404968912464755
AAPL_2022-04-28,AAPL,2022-05-18,20,-0.01636058946219624
AAPL_2022-07-28,AAPL,2022-07-08,-20,0.0037052849434536625
AAPL_2022-07-28,AAPL,2022-07-11,-17,0.005360525945631585
AAPL_2022-07-28,AAPL,2022-07-12,-16,0.01601998897322207
AAPL_2022-07-28,AAPL,2022-07-13,-15,-0.00045740017371393446
AAPL_2022-07-28,AAPL,2022-07-14,-14,0.017130236857209963
AAPL_2022-07-28,AAPL,2022-07-15,-13,-0.005149548969242336
AAPL_2022-07-28,AAPL,2022-07-18,-10,-0.012798190506675784
AAPL_2022-07-28,AAPL,2022-07-19,-9,-0.001602309671499949
AAPL_2022-07-28,AAPL,2022-07-20,-8,-0.0010294595225276582
AAPL_2022-07-28,AAPL,2022-07-21,-7,0.0019061915817254593
AAPL_2022-07-28,AAPL,2022-07-22,-6,0.008456926490603828
AAPL_2022-07-28,AAPL,2022-07-25,-3,-0.001953631668245242
AAPL_2022-07-28,AAPL,2022-07-26,-2,0.00973601270054577
AAPL_2022-07-28,AAPL,2022-07-27,-1,-0.004624595807747323
AAPL_2022-07-28,AAPL,2022-07-28,0,-0.005308306608476938
AAPL_2022-07-28,AAPL,2022-07-29,1,0.015643104353769435
AAPL_2022-07-28,AAPL,2022-08-01,4,-0.005446787406511584
AAPL_2022-07-28,AAPL,2022-08-02,5,-0.0063908262493307996
AAPL_2022-07-28,AAPL,2022-08-03,6,0.012739531850962816
AAPL_2022-07-28,AAPL,2022-08-04,7,-0.0060965582523238495
AAPL_2022-07-28,AAPL,2022-08-05,8,0.005008061409526971
AAPL_2022-07-28,AAPL,2022-08-08,11,0.0002665016113179001
AAPL_2022-07-28,AAPL,2022-08-09,12,0.011043987293811265
AAPL_2022-07-28,AAPL,2022-08-10,13,0.0004492546355063451
AAPL_2022-07-28,AAPL,2022-08-11,14,0.0010125238816742098
AAPL_2022-07-28,AAPL,2022-08-12,15,0.003450960617741892
AAPL_2022-07-28,AAPL,2022-08-15,18,-0.0009976663851461879
AAPL_2022-07-28,AAPL,2022-08-16,19,0.0014197900894912456
AAPL_2022-07-28,AAPL,2022-08-17,20,0.019569099895032426
AAPL_2022-10-27,AAPL,2022-10-07,-20,0.0007257895285684643
AAPL_2022-10-27,AAPL,2022-10-10,-17,0.011560575641941392
AAPL_2022-10-27,AAPL,2022-10-11,-16,0.002703345776697263
AAPL_2022-10-27,AAPL,2022-10-12,-15,-0.005154301324957911
AAPL_2022-10-27,AAPL,2022-10-13,-14,0.00889581180806126
AAPL_2022-10-27,AAPL,2022-10-14,-13,-0.003002576634081801
AAPL_2022-10-27,AAPL,2022-10-17,-10,-0.004805070693370304
AAPL_2022-10-27,AAPL,2022-10-18,-9,0.0005722187536336028
AAPL_2022-10-27,AAPL,2022-10-19,-8,0.003551771761742958
AAPL_2022-10-27,AAPL,2022-10-20,-7,0.0009822140784592585
AAPL_2022-10-27,AAPL,2022-10-21,-6,0.002539435654306872
AAPL_2022-10-27,AAPL,2022-10-24,-3,0.002822833288089712
AAPL_2022-10-27,AAPL,2022-10-25,-2,-0.0022934101667982654
AAPL_2022-10-27,AAPL,2022-10-26,-1,0.001736750390773794
AAPL_2022-10-27,AAPL,2022-10-27,0,-0.013367891583851925
AAPL_2022-10-27,AAPL,2022-10-28,1,0.041679271697868545
AAPL_2022-10-27,AAPL,2022-10-31,4,-0.004665839941260932
AAPL_2022-10-27,AAPL,2022-11-01,5,-0.00826603528269436
AAPL_2022-10-27,AAPL,2022-11-02,6,-0.0038707617829169053
AAPL_2022-10-27,AAPL,2022-11-03,7,-0.024399104287266434
AAPL_2022-10-27,AAPL,2022-11-04,8,-0.020515841005939714
AAPL_2022-10-27,AAPL,2022-11-07,11,-0.00796924181036052
AAPL_2022-10-27,AAPL,2022-11-08,12,-0.0040086688024738755
AAPL_2022-10-27,AAPL,2022-11-09,13,-0.011187423086164695
AAPL_2022-10-27,AAPL,2022-11-10,14,0.012851412447331317
AAPL_2022-10-27,AAPL,2022-11-11,15,-0.00013454115472640027
AAPL_2022-10-27,AAPL,2022-11-14,18,-0.0015855195119584293
AAPL_2022-10-27,AAPL,2022-11-15,19,-0.0028860475032288398
AAPL_2022-10-27,AAPL,2022-11-16,20,0.004554762185848009
AAPL_2023-02-02,AAPL,2023-01-13,-20,0.0030601692296021495
AAPL_2023-02-02,AAPL,2023-01-17,-16,0.007094172720779283
AAPL_2023-02-02,AAPL,2023-01-18,-15,0.009835274580055916
AAPL_2023-02-02,AAPL,2023-01-19,-14,0.012082850264132906
AAPL_2023-02-02,AAPL,2023-01-20,-13,-0.010420467409163543
AAPL_2023-02-02,AAPL,2023-01-23,-10,-0.0006277448904811848
AAPL_2023-02-02,AAPL,2023-01-24,-9,0.012925748169817477
AAPL_2023-02-02,AAPL,2023-01-25,-8,-0.0016007013602068365
AAPL_2023-02-02,AAPL,2023-01-26,-7,-0.00619335399178363
AAPL_2023-02-02,AAPL,2023-01-27,-6,0.0031858275295024215
AAPL_2023-02-02,AAPL,2023-01-30,-3,0.003119441261602879
AAPL_2023-02-02,AAPL,2023-01-31,-2,-0.006964321496729743
AAPL_2023-02-02,AAPL,2023-02-01,-1,-0.015078863120359297
AAPL_2023-02-02,AAPL,2023-02-02,0,-0.0022752497840807864
AAPL_2023-02-02,AAPL,2023-02-03,1,0.04472915176325129
AAPL_2023-02-02,AAPL,2023-02-06,4,-0.007987954347973317
AAPL_2023-02-02,AAPL,2023-02-07,5,-0.0031607901057227536
AAPL_2023-02-02,AAPL,2023-02-08,6,0.0028218827381963733
AAPL_2023-02-02,AAPL,2023-02-09,7,0.003593860312245529
AAPL_2023-02-02,AAPL,2023-02-10,8,0.00890208882090673
AAPL_2023-02-02,AAPL,2023-02-13,11,0.0015562779433268802
AAPL_2023-02-02,AAPL,2023-02-14,12,-0.011804849544223874
AAPL_2023-02-02,AAPL,2023-02-15,13,0.005936019608937228
AAPL_2023-02-02,AAPL,2023-02-16,14,0.011264358042160605
AAPL_2023-02-02,AAPL,2023-02-17,15,0.0009516061630250334
AAPL_2023-02-02,AAPL,2023-02-21,19,0.00029862897440486105
AAPL_2023-02-02,AAPL,2023-02-22,20,0.002693205448091908
AAPL_2023-05-04,AAPL,2023-04-14,-20,5.957075407245606e-05
