ticker,event_day,abnormal_return,caar
AAPL,-20,0.003669436103072614,0.003669436103072614
AAPL,-17,0.0001262254655355241,0.003795661568608138
AAPL,-16,0.0016954095234378698,0.005491071092046008
AAPL,-15,-0.00047331315770267747,0.00501775793434333
AAPL,-14,0.0011855109507668323,0.006203268885110163
AAPL,-13,-0.0003107795080214866,0.005892489377088676
AAPL,-10,0.00042791572012832027,0.006320405097216997
AAPL,-9,0.001164705022614239,0.007485110119831236
AAPL,-8,-0.0002363365950856545,0.007248773524745581
AAPL,-7,-0.0005300221068128124,0.0067187514179327685
AAPL,-6,-0.00022345719150913918,0.006495294226423629
AAPL,-3,0.004203130360946258,0.010698424587369887
AAPL,-2,0.00031193225369159053,0.011010356841061478
AAPL,-1,-0.0019708322069580237,0.009039524634103454
AAPL,0,0.0013006618467018391,0.010340186480805294
AAPL,1,0.0043641416886839035,0.014704328169489198
AAPL,4,-0.01078190065960261,0.003922427509886589
AAPL,5,0.0026322621092027244,0.0065546896190893135
AAPL,6,0.0018140356609532924,0.008368725280042606
AAPL,7,0.0022392415337478457,0.010607966813790452
AAPL,8,0.0004067827066538579,0.01101474952044431
AAPL,11,-0.0008337845723858884,0.01018096494805842
AAPL,12,0.0031459274673379845,0.013326892415396405
AAPL,13,-0.0020640055096822754,0.01126288690571413
AAPL,14,0.00209834821387008,0.01336123511958421
AAPL,15,0.002150160778112609,0.015511395897696819
AAPL,18,-0.0034622884966226653,0.012049107401074153
AAPL,19,0.0020720768380368243,0.014121184239110978
AAPL,20,-0.0002950847611132599,0.013826099477997717
GOOGL,-20,0.0027163369840101353,0.0027163369840101353
GOOGL,-19,0.00449865520710097,0.007214992191111105
GOOGL,-18,0.003777426658389106,0.010992418849500212
GOOGL,-17,0.01014236262446726,0.02113478147396747
GOOGL,-16,0.0008948541604688217,0.022029635634436294
GOOGL,-15,-0.005989055935215809,0.016040579699220483
GOOGL,-14,0.00449612993450054,0.020536709633721024
GOOGL,-13,0.0022559827380004204,0.022792692371721445
GOOGL,-12,-0.001458645424696762,0.021334046947024683
GOOGL,-11,0.0033727572498102364,0.02470680419683492
GOOGL,-10,-0.0014971261106463982,0.02320967808618852
GOOGL,-9,-0.006958424288361768,0.016251253797826753
GOOGL,-8,-0.0053126006544430456,0.010938653143383707
GOOGL,-7,-0.0003869897697786444,0.010551663373605063
GOOGL,-6,0.0004130568038460453,0.010964720177451108
GOOGL,-5,0.006444883165425284,0.017409603342876393
GOOGL,-4,-0.0012853214130877878,0.016124281929788604
GOOGL,-3,0.0019603654226479817,0.018084647352436586
GOOGL,-2,0.008554402080380625,0.02663904943281721
