event_day,AAR,CAAR
-10,-0.0005256182795538376,-0.0005256182795538376
-9,0.00033004059095963505,-0.00019557768859420255
-8,0.002467163668213332,0.0022715859796191293
-7,0.0024213770311391123,0.004692963010758241
-6,-0.0012094026753162747,0.0034835603354419664
-5,6.485237229794601e-05,0.0035484127077399126
-4,-0.0020236421319671815,0.001524770575772731
-3,0.0018876393824322304,0.0034124099582049615
-2,-0.0028527056857106377,0.0005597042724943238
-1,-0.002207749732167239,-0.001648045459672915
0,-0.0006763204400024289,-0.002324365899675344
1,0.0008190544493887553,-0.0015053114502865885
2,0.0025113119870295167,0.0010060005367429283
3,0.0007229859020646693,0.0017289864388075975
4,-0.0014821803552325474,0.0002468060835750501
5,0.004486876505375036,0.004733682588950086
6,0.0019155961092314914,0.0066492786981815774
7,0.0012404814896291004,0.007889760187810678
8,-0.001933425347153069,0.005956334840657608
9,0.0013178315515383968,0.007274166392196005
10,-0.0016465870555207398,0.0056275793366752655
11,0.0027754945471432555,0.00840307388381852
12,-0.0008933239514843094,0.007509749932334211
13,0.002908298571634646,0.010418048503968857
14,0.0013810511432265353,0.011799099647195393
15,0.00042103716007949634,0.012220136807274889
16,-0.004603715078708089,0.0076164217285668
17,0.0009725259932776997,0.008588947721844499
18,0.0016546418795290745,0.010243589601373573
19,-0.00045320005576873323,0.00979038954560484
20,0.003228927619146625,0.013019317164751465
