date,stock_return,market_return,expected_return,ar,rel_day,ticker,event_date_aligned,alpha,beta,surprise,car_0_t
2022-01-20,-0.010401012916038935,-0.013073656942358148,-0.013833954137431808,0.003432941221392873,-5,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,
2022-01-21,-0.012847356444817501,-0.02812029495978612,-0.03000843560489889,0.01716107916008139,-4,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,
2022-01-24,-0.004876101381209836,0.004567447819826868,0.005129466243327861,-0.010005567624537698,-3,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,
2022-01-25,-0.011450031751405689,-0.02345404380057796,-0.02499241855113976,0.013542386799734072,-2,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,
2022-01-26,-0.0005634332011201637,-0.0015661998874873923,-0.001463938280328308,0.0009005050792081443,-1,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,
2022-01-27,-0.0029475421923435903,-0.010121475430153766,-0.010660487406694907,0.007712945214351317,0,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.007712945214351317
2022-01-28,0.06745083821205389,0.03088702100299496,0.033421862736798154,0.034028975475255734,1,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.041741920689607054
2022-01-31,0.025790308326912197,0.03147790356838665,0.034057035796209,-0.008266727469296804,2,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.03347519322031024
2022-02-01,-0.0009731246653620436,0.006780354492257295,0.007508244673499632,-0.008481369338861676,3,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.024993823881448565
2022-02-02,0.007019575121275115,0.00809257831643562,0.008918828213873069,-0.0018992530925979537,4,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.02309457078885061
2022-02-03,-0.01686109796606644,-0.041388690026542246,-0.04427138323889557,0.027410285272829127,5,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.05050485606167974
2022-02-04,-0.002954040782357686,0.012536199151844488,0.013695527352080765,-0.01664956813443845,6,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.03385528792724129
2022-02-07,-0.004243575616813313,-0.008077060785775504,-0.008462830578703577,0.004219254961890264,7,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.03807454288913155
2022-02-08,0.018298296919483707,0.011172568159391195,0.012229683341587999,0.0060686135778957075,8,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04414315646702726
2022-02-09,0.008259566764228612,0.020969192975614375,0.022760628948852356,-0.014501062184623744,9,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.029642094282403518
2022-02-10,-0.02388173200338736,-0.022892491256373573,-0.024388773988897848,0.0005070419855104889,10,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.030149136267914003
2022-02-11,-0.02042564261740149,-0.03223559092026209,-0.03443219978190398,0.014006557164502494,11,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.0441556934324165
2022-02-14,0.0014221381870677026,0.0012380823329924114,0.001550543144170755,-0.00012840495710305234,12,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.044027288475313446
2022-02-15,0.022888580784965116,0.02456004754563715,0.02662064143987731,-0.0037320606549121928,13,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04029522782040126
2022-02-16,-0.0013899347810178981,-0.00025277532231826323,-5.2063995611816005e-05,-0.001337870785406082,14,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.03895735703499517
2022-02-17,-0.021498646003947346,-0.030195113803759215,-0.03223877562512959,0.010740129621182246,15,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04969748665617742
2022-02-18,-0.009399795547286824,-0.01147080665470646,-0.012110959788613275,0.0027111642413264504,16,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.052408650897503864
2022-02-22,-0.01797286181253025,-0.01009468430266925,-0.010631688109836104,-0.007341173702694147,17,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04506747719480972
2022-02-23,-0.026204526621641896,-0.025948843051616058,-0.027674219243376003,0.0014696926217341068,18,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04653716981654383
2022-02-24,0.01654261570990522,0.033052068405911586,0.03574919453371531,-0.01920657882381009,19,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.027330590992733737
2022-02-25,0.012882134249228717,0.01538810154307164,0.016761198389059272,-0.003879064139830555,20,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.023451526852903182
2022-02-28,0.0016365127754580102,0.0029742730640081225,0.0034168726704260828,-0.0017803598949680725,21,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.02167116695793511
2022-03-01,-0.011696039763191411,-0.015429660095814868,-0.016366555061222334,0.004670515298030923,22,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.02634168225596603
2022-03-02,0.020379162336652264,0.016640097857703828,0.018107039976056987,0.0022721223605952773,23,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.02861380461656131
2022-03-03,-0.001983233319290826,-0.014387736820456748,-0.015246532855046922,0.013263299535756097,24,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.04187710415231741
2022-03-04,-0.018579769444388956,-0.014598140504763704,-0.01547270766489932,-0.0031070617794896355,25,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.03877004237282777
2022-03-07,-0.0240033851869761,-0.03757812239067199,-0.04017518875774138,0.016171803570765277,26,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.05494184594359305
2022-03-08,-0.011744783612059648,-0.004659108077230591,-0.004788680069001301,-0.0069561035430583465,27,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.0479857424005347
2022-03-09,0.03439897197962718,0.03536493861231366,0.03823542941533983,-0.003836457435712655,28,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.044149284964822046
2022-03-10,-0.02756263696133615,-0.011166447981637151,-0.011783787452087304,-0.01577884950924885,29,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.028370435455573197
2022-03-11,-0.024199105820653113,-0.02095647642592813,-0.022307642246410832,-0.0018914635742422817,30,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.026478971881330915
2022-03-14,-0.02692155382837553,-0.01939167641658062,-0.020625550291904573,-0.006296003536470956,31,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.02018296834485996
2022-03-15,0.029245484898155715,0.030884917978004946,0.03341960207639766,-0.0041741171782419435,32,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.016008851166618016
2022-03-16,0.028602432839733512,0.0364157146006546,0.039364967902953775,-0.010762535063220263,33,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,0.005246316103397753
2022-03-17,0.0064333003492210526,0.012033558835263787,0.013155210872351556,-0.0067219105231305035,34,AAPL,2022-01-27,0.0002196584822954877,1.0749565084727082,0.21,-0.0014755944197327505
