ticker,event_date,CAR_0_1,CAR_0_5,CAR_2_20,CAR_2_40,CAR_2_60,CAR_0_20,CAR_0_40,CAR_0_60,speed_01_over_05,continuation_01_vs_220
AAPL,2022-01-27,0.041741920689607054,0.050504856061679745,-0.018290393836703864,-0.007273396961268934,0.011122137865246323,0.02345152685290319,0.03446852372833811,0.05286405855485336,0.826493211635514,False
AAPL,2022-04-28,0.0157123556124784,0.007535547676828527,-0.06507041999722207,-0.07647518123249719,-0.031487649443442636,-0.049358064384743675,-0.06076282562001878,-0.015775293830964245,2.0850980295424564,False
AAPL,2022-07-28,0.007695723934621795,-0.0020576220885347657,0.014810602705521854,0.019468931582233787,-0.01729043584710354,0.022506326640143647,0.02716465551685559,-0.009594711912481749,3.7401056187640003,True
AAPL,2022-10-27,0.028445554746795866,-0.018392072403480876,-0.09128737054232659,-0.16626000383656048,-0.18582245678677622,-0.06284181579553073,-0.13781444908976465,-0.1573769020399803,1.5466204200790483,False
AAPL,2023-02-02,0.043029083411688596,0.0336661816912764,-0.003018369519408183,0.01314196189398459,0.03547423302700671,0.04001071389228042,0.0561710453056732,0.0785033164386953,1.278109997928227,False
AAPL,2023-05-04,0.017480960200941205,0.007545094169572938,-0.0578040664932281,-0.04425136690781452,-0.06431879877101417,-0.0403231062922869,-0.026770406706873324,-0.04683783857007295,2.316864416541888,False
AAPL,2023-08-03,-0.049827180891280166,-0.06209143877915954,0.01739064634481284,-0.019357776765206978,0.0033026540338294665,-0.03243653454646732,-0.06918495765648713,-0.04652452685745069,0.8024806941340233,False
AAPL,2023-11-02,-0.013163663013897469,0.014753029230699818,0.03135579071415586,-0.021662247672550358,-0.05230815607881316,0.01819212770025839,-0.034825910686447824,-0.06547181909271062,0.8922684831739497,False
AAPL,2024-02-01,-0.01672306822337026,-0.01162610926629376,-0.06922127581470774,-0.12735803715775895,-0.08666582162255024,-0.08594434403807802,-0.14408110538112923,-0.10338888984592048,1.4384062492732221,True
AAPL,2024-05-02,0.05610830428754307,0.05633038133232658,0.03775905501976419,0.12227891459105975,0.1910312386712941,0.09386735930730725,0.17838721887860282,0.24713954295883714,0.9960575973474537,True
AAPL,2024-08-01,0.031672642203821134,0.004778788810748915,0.014103940872958817,-0.013586530014542093,-0.0020476199089156533,0.04577658307677995,0.01808611218927902,0.029625022294905462,6.627755161010664,True
AAPL,2024-10-31,-0.01861862641043864,-0.037944155104081716,0.025548506863041838,0.07255314632100734,-0.0018299100022161879,0.006929880452603197,0.0539345199105687,-0.020448536412654837,0.49068496476907464,False
AAPL,2025-01-30,-0.017158067658978943,-0.040644167042161124,0.03213310930215898,-0.030317030416746757,-0.0828961715796786,0.014975041643180026,-0.04747509807572571,-0.10005423923865754,0.42215326103695244,False
AAPL,2025-05-01,-0.05462695007976799,-0.09551934607666056,-0.07602895194352792,-0.11051705201362186,-0.11358144140102484,-0.13065590202329588,-0.16514400209338984,-0.16820839148079283,0.5718940960496763,True
